,text
0,"Voice therapy consists of techniques and procedures that target vocal parameters, such as vocal fold closure, pitch, volume, and quality. This therapy is provided by speech-language pathologists and is primarily used to aid in the management of voice disorders, or for altering the overall quality of voice, as in the case of transgender voice therapy. Vocal pedagogy is a related field to alter voice for the purpose of singing. Voice therapy may also serve to teach preventive measures such as vocal hygiene and other safe speaking or singing practices."
1,"There are several orientations towards management in voice therapy. The approach taken to voice therapy varies between individuals, as no set treatment method applies for all individuals. The specific method of treatment should consider the type and severity of the disorder, as well as individual qualities such as personal and cultural characteristics. Some common orientations are described below."
2,"Symptomatic voice therapy aims to directly or indirectly modify the symptoms that are caused by a voice disorder. Techniques are implemented to facilitate the production and maintenance of a voice that is most appropriate for the individual.  Symptomatic voice therapy can modify respiration, phonation, resonance, voice, loudness, rate, and laryngeal muscle tension and may assist in gender reassignment voice change."
3,"Physiologic voice therapy may be adopted when the voice disorder is caused by a disturbance in the physiology of the vocal mechanism. Therapy directly modifies the abnormal physiologic activity affecting respiration, phonation, and resonance. Physiologic voice therapy aims to create a balance between the various subsystems."
4,"Hygienic voice therapy involves modifying or eliminating inappropriate vocal behaviours that lead to voice dysfunction. Once behaviours are modified, the voice may improve towards a normal state. The voice is improved without directly targeting physiological mechanisms. Hygienic Voice therapy uses different techniques which are used for both management and prevention for voice disorders. For management of disorders, hygienic voice therapy is usually used in conjunction with other voice therapy methods. Vocal hygiene programs can include many different components but usually includes speech and non-speech aspects. Speech aspects include addressing loudness and amount of use. Whereas non-speech components typically address components such as  allergies, or laryngopharyngeal reflux. A vocal hygiene program also may include a component about learning about how the voice works (e.g. anatomy and physiology)."
5,Some vocal hygiene guidelines for better vocal health:
6,"Avoid phono-traumatic behaviours (i.e. throat clearing, yelling, cheering, excessive crying, talking over extensive background noise, and increase use voice amplification when appropriate)."
7,"Decrease or eliminate use of alcohol, caffeine, and drugs (i.e. tobacco, recreational drugs, non-steroidal anti-inflammatories and aspirin)."
8,"Increase humidification of the upper respiratory tract (i.e. drink more water, increase environmental humidity when possible, and decrease time spent in dry or dusty environments)."
9,Decrease quantity of speech (if you're an excessive voice user or post laryngeal surgery).
10,"Psychogenic voice therapy examines the psychological and emotional factors that cause and perpetuate disordered voice, and focuses on modifying those factors to improve voice functioning."
11,The various voice therapy orientations are not exclusive of each other. Any combination of orientations can be used in treatment. This is known as eclectic voice therapy.
12,"While hormone replacement therapy and gender reassignment surgery can cause a more feminine physical appearance, they do little to alter the pitch or sound of the voice.  A number of surgical procedures exist to alter the vocal structure. These can be used in conjunction with voice therapy:"
13,Cricothyroid approximation (CTA) (is the most common)
14,Laryngoplasty
15,Thyrohyoid approximation
16,Laryngeal reduction surgery (surgical shortening of the vocal cords)
17,Laser assisted voice adjustment (LAVA)
18,"Voice prosthesis is an artificial device, usually made of silicone, that is used to help laryngectomized patients to speak."
19,"There are many different physiologic voice therapy approaches that can be used in treatment. An example of a holistic approach used in voice therapy is the Smith Accent Method, introduced as a method to improve both speech and voice production. This technique can be used to treat stuttering, breathing, dysprosody, dysphonia, and to increase control of breathing, phrasing, and rhythm."
20,The main targets of accent methods are:
21,To increase the pulmonary output
22,To reduce tension in muscles
23,To reduce glottis waste
24,To stabilize the vibratory pattern of the vocal folds while speaking.
25,"The accent method is implemented two to three times a week, in 20 minute sessions. The procedure is two-part: diaphragmatic breathing and rhythmic vowel play. During diaphragmatic breathing, the patient is trained to elicit and monitor abdominal breathing and muscle relaxation. Rhythms are then introduced in two beats, with an accent on the second sound. The accented rhythm is then generalized to longer phonation at three speeds (largo, andante, and allegro), while maintaining proper breathing techniques. The rhythms are then generalized to real speech, through the use of repetition, reading passages, conversations, and monologues."
26,"There is a wide variety of treatments that fall under symptomatic voice therapy. An example of a symptomatic voice treatment method is the chant-talk approach. The chant-talk approach uses pre-existing characteristics found in chanting-styled music, such as rhythm and prosodic patterns. The therapy is used to reduce phonatory effort, which causes vocal fatigue. Chant therapy is used to minimize hyperfunctionality by affecting loudness and voice quality. The technique employs the continuous tone quality found in music chanting. More specifically, it elevates the pitch of the voice during phonation, prolongs the vowels, de-stresses syllables, and lessens word-initial glottal attacks."
